cod_departamento,departamento,cod_municipio,municipio,ano,bajo_peso_nacer,controles_prenatales,fecundidad_adolescente,mortalidad_fetal,mortalidad_general,mortalidad_infantil,mortalidad_materna,mortalidad_neonatal,partos_cesarea,partos_institucionales
23,córdoba,23001,Montería,2008,11.18769883,5.211313345,155.9423526,125.2559952,6.9494803,34.06087154,120.8367948,,61.79452262,99.72174988
70,Sucre,70001,Sincelejo,2019.0,10.66344793,6.114366572,201.7523273,61.99250468,9.702234549,12.40219744,58.26535708,9.405693358,79.1909439,99.96612753
54,,54001,Cúcuta,2009.0,7.199843055,5.476631879,113.4688865,13.74504539,7.341038102,14.13106891,38.8928502,9.723212549,58.39984427,98.86536051
70,  Sucre  ,70001,Sincelejo,2013.0,,6.177528544,174.340841,90.18201875,6.689813171,8.790542589,80.83257553,,80.13539456,99.82418037
52,Nariño,52001,Pasto,2018,,7.331826087,79.68906985,106.9579623,8.348000123,17.73913043,57.97101449,11.24637681,62.91014493,99.69256237
5,Antioquia,5045,Apartadó,2014.0,5.946450809,5.836550436,101.2192558,42.05189383,2.797558494,9.9626401,,7.160647572,29.73225405,99.59055118
44,La Guajira,"44,430",Maicao,2005,-2.42,3.942688433,76.15941001,16.39904339,2.68243811,6.946856547,69.46856547,,29.42408377,99.57476967
5,Antioquia,5615,Rionegro,2015,,7.380733945,192.2621398,29.61099284,10.47825762,8.376545672,19.94415636,6.5815716,39.52931791,99.85658677
47,Magdalena,47189,Ciénaga,2014.0,7.205764612,5.127702162,143.4977578,80.26509573,5.025946569,13.61088871,80.06405124,10.00800641,52.12169736,99.55284553
76,valle del cauca,76001,Cali,2005,11.38807556,6.427051318,80.95916673,18.1315616,7.112319167,17.22668457,111.0565872,11.33810274,36.57023191,99.38304295
20,Cesar,"20,001",Valledupar,2009.0,11.09102859,5.702378054,132.1073559,18.71615164,5.292282363,21.42683224,73.04601899,13.47293239,75.89869281,98.46819847
44, LA GUAJIRA ,44650,San Juan Del Cesar,2016.0,9.570128648,5.74615626,481.0045074,16.05433776,12.55716816,,156.8873549,6.589268905,70.53655475,99.74301317
13,Bolívar,13001,Cartagena,2019.0,9.456410256,6.207006892,109.4838487,31.66090653,6.260928479,11.97899573,57.43354119,7.75352806,59.40269117,99.75759602
68,Santander,68001,Bucaramanga,2014,9.666197913,6.953479772,105.9699447,43.57360119,8.484200428,13.75637897,,9.762591524,54.45603136,99.88631196
52,Nariño,52001,Pasto,2006.0,11.23274631,5.798478183,,21.63545423,6.442575588,24.61062894,83.22434907,15.81262632,47.78465936,98.93783947
5,Antioquia,"50,45",Apartadó,2020,8.343804976,5.86830862,145.9976506,96.70828604,8.016032064,,276.4513697,5.780346821,38.32621262,99.64258361
13,Bolívar,13001,Cartagena,2006.0,7.886524823,5.450177179,94.98968259,12.68834259,4.179348567,13.89085755,,,58.54327173,99.71975261
18,Caquetá,18001,Florencia,2017.0,6.529093369,5.483592693,186.5759211,68.2427108,5.357242925,7.273342355,67.65899865,5.243572395,46.14343708,99.74248927
27,Chocó,27001,Quibdó,2019.0,10.21984551,4.300913487,107.57833,21.04155708,5.63664047,25.79258463,188.0709296,13.97098334,,90.13121925
52,Nariño,52835,San Andres De Tumaco,2018.0,5.518349853,4.589373227,93.12048651,12.48089659,3.686081282,,77.37941708,3.868970854,53.62393603,95.37133891
8,Atlántico,8001,Barranquilla,2014.0,9.903590809,6.298854224,131.4204467,16.40786896,7.80003677,18.26892551,69.26606828,11.89067506,,99.95878595
27,Chocó,27001,Quibdó,2006.0,,3.41536864,,22.33502538,6.393669914,40.49844237,242.2983731,24.22983731,21.45088511,98.29484902
5,Antioquia,5045,Apartadó,2013,5.265017668,5.740282686,95.56533877,33.13973352,2.477739063,3.886925795,,1.413427562,27.38515901,99.04085258
5,,"50,45",Apartadó,2006,8.775436047,5.202069717,189.4985691,127.7909739,3.221430994,12.16412491,108.9324619,,32.13442325,99.49832776
23,cordoba,23001,Montería,2005.0,10.48921352,4.834066678,,126.4044944,6.351986579,34.18514131,33.84667456,24.11575563,53.82135889,99.38185617
8,atlantico,8638,Sabanalarga,2007.0,11.08995716,5.059743954,,10.7879925,4.066547591,27.97534376,189.6633476,18.01801802,,99.80430528
23,Córdoba,23001,Montería,2017,11.48604023,5.883878715,184.3110371,132.5972606,9.259116474,23.59651756,96.06724707,,77.544281,99.78458887
54,Norte de Santander,54001,Cúcuta,2010,7.459802636,5.46867909,107.4402454,15.43565094,7.247982224,13.82108231,,,58.29259897,99.51595931
41,,41001,Neiva,2009,9.644277508,6.707483743,134.8554033,86.85587762,8.40838642,,55.10856387,16.42235203,45.00606997,99.49250028
52,Nariño,52356,Ipiales,2013,,6.522786458,117.9452518,83.25872874,3.933916248,,65.10416667,1.302083333,36.45833333,99.04605263
8,Atlántico,8758,Soledad,2019,8.055380743,5.805159396,40.25550135,16.29874149,2.349290433,14.8909396,20.97315436,10.06711409,70.4488255,99.74678202
